Date,Words,Total Words,Project
2013-09-15,230,230,Anne
2013-09-16,744,974,Anne
2013-10-25,104,1078,Anne
2013-10-26,504,1582,Anne
2013-10-29,502,2084,Anne
2013-10-30,343,2427,Anne
2013-10-31,8,2435,Anne
2013-11-09,304,2739,Anne
2013-11-10,1,2740,Anne
2013-11-11,174,2914,Anne
2013-11-12,143,3057,Anne
2013-11-17,99,3156,Anne
2013-12-03,355,3511,Anne
2013-12-04,313,3824,Anne
2013-12-05,107,3931,Anne
2013-12-06,314,4245,Anne
2013-12-09,100,4345,Anne
2013-12-10,752,5097,Anne
2013-12-11,322,5419,Anne
2013-12-12,301,5720,Anne
2013-12-13,486,6206,Anne
2013-12-14,306,6512,Anne
2013-12-15,353,6865,Anne
2013-12-16,539,7404,Anne
2013-12-17,579,7983,Anne
2013-12-21,-23,7960,Anne
2013-12-22,134,8094,Anne
2013-12-23,396,8490,Anne
2013-12-24,343,8833,Anne
2013-12-25,12,8845,Anne
2013-12-27,625,9470,Anne
2013-12-28,539,10009,Anne
2013-12-29,390,10399,Anne
2013-12-30,305,10704,Anne
2013-12-31,177,10881,Anne
2014-01-01,52,10933,Anne
2014-01-02,396,11329,Anne
2014-01-03,141,11470,Anne
2014-01-04,567,12037,Anne
2014-01-05,363,12400,Anne
2014-01-06,305,12705,Anne
2014-01-07,500,13205,Anne
2014-01-08,440,13645,Anne
2014-01-09,458,14103,Anne
2014-01-10,555,14658,Anne
2014-01-11,411,15069,Anne
2014-01-12,134,15203,Anne
2014-01-13,709,15912,Anne
2014-01-14,446,16358,Anne
2014-01-15,443,16801,Anne
2014-01-16,460,17261,Anne
2014-01-17,1,17262,Anne
2014-01-18,304,17566,Anne
2014-01-19,437,18003,Anne
2014-01-20,1105,19108,Anne
2014-01-21,1205,20313,Anne
2014-01-22,701,21014,Anne
2014-01-23,449,21463,Anne
2014-01-24,320,21783,Anne
2014-01-25,86,21869,Anne
2014-01-26,53,21922,Anne
2014-01-27,50,21972,Anne
2014-01-28,415,22387,Anne
2014-01-29,502,22889,Anne
2014-01-30,389,23278,Anne
2014-01-31,533,23811,Anne
2014-02-01,512,24323,Anne
2014-02-02,494,24817,Anne
2014-02-03,395,25212,Anne
2014-02-04,512,25724,Anne
2014-02-05,408,26132,Anne
2014-02-06,550,26682,Anne
2014-02-07,377,27059,Anne
2014-02-08,66,27125,Anne
2014-02-09,33,27158,Anne
2014-02-10,159,27317,Anne
2014-02-11,408,27725,Anne
2014-02-12,515,28240,Anne
2014-02-13,425,28665,Anne
2014-02-14,130,28795,Anne
2014-02-15,37,28832,Anne
2014-02-16,543,29375,Anne
2014-02-17,531,29906,Anne
2014-02-18,212,30118,Anne
2014-02-19,464,30582,Anne
2014-02-20,61,30643,Anne
2014-02-21,145,30788,Anne
2014-02-22,83,30871,Anne
2014-02-23,38,30909,Anne
2014-02-24,193,31102,Anne
2014-02-25,406,31508,Anne
2014-02-26,220,31728,Anne
2014-02-27,102,31830,Anne
2014-02-28,558,32388,Anne
2014-03-01,535,32923,Anne
2014-03-02,511,33434,Anne
2014-03-03,417,33851,Anne
2014-03-04,404,34255,Anne
2014-03-05,410,34665,Anne
2014-03-06,435,35100,Anne
2014-03-07,61,35161,Anne
2014-03-08,511,35672,Anne
